,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Seats,RTO,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
0,Hatchback,120000,Manual,3,Maruti,2015,400000.0,Third Party insurance,Petrol,5 Seats,KA,8,23.1,998,67.04,90.0,white,3,4,No,3715.0,1635.0,1565.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
1,SUV,32706,Manual,2,Ford,2018,811000.0,Comprehensive,Petrol,5 Seats,KA,9,17.0,1497,121.31,150.0,white,3,4,No,3998.0,1765.0,1647.0,2519.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
2,Hatchback,11949,Manual,1,Tata,2018,585000.0,Comprehensive,Petrol,5 Seats,KA,9,23.84,1199,84.0,114.0,red,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
3,Sedan,17794,Manual,1,Hyundai,2014,462000.0,Comprehensive,Petrol,5 Seats,KA,9,19.1,1197,81.86,113.75,others,4,4,No,3995.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
4,SUV,60000,Manual,1,Maruti,2015,790000.0,Third Party insurance,Diesel,5 Seats,KA,9,23.65,1248,88.5,200.0,gray,4,4,Yes,4300.0,1785.0,1595.0,2600.0,5,Power,Disc,Disc,Tubeless,5,Bangalore
6,Hatchback,37772,Manual,1,Datsun,2017,345000.0,Comprehensive,Petrol,5 Seats,KA,9,20.63,1198,67.0,104.0,gray,3,4,No,3785.0,1635.0,1490.0,2450.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
7,SUV,30000,Automatic,1,Hyundai,2021,1200000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.15,998,118.35,171.6,others,3,4,Yes,3995.0,1770.0,1605.0,2500.0,7,Power,Disc,Drum,Radial,5,Bangalore
9,Hatchback,11949,Manual,1,Tata,2017,585000.0,Comprehensive,Petrol,5 Seats,KA,9,23.84,1199,84.0,114.0,red,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
10,Hatchback,50000,Manual,1,Maruti,2018,690000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,21.4,1197,83.1,115.0,red,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
11,Hatchback,24887,Automatic,1,Hyundai,2019,682000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,orange,4,4,No,3765.0,1660.0,1520.0,2425.0,4,Power,Disc,Drum,Tubeless,5,Bangalore
