,bt,km,transmission,ownerNo,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Fuel Type,Transmission,Features,Comfort & Convenience,Safety,Mileage,Torque,Color,Engine Type,Displacement,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,City,RPM_BHP,Power_RTO
0,2.0,120000,1,3,160,2015,3979,1806,400000.0,5.0,4,1,8,10,13,23.1,90.0,138,293.0,998.0,3.0,4.0,3.0,53.0,30.0,11.0,1.0,1.0,3715.0,1635.0,1565.0,2425,1420.0,1410.0,835.0,1250.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,15.05,23.0,5.0,235.0,15.66402379,0,3567.04,6165.0
1,7.0,32706,1,2,50,2018,6087,288,811000.0,2.0,4,1,9,10,13,17.0,150.0,138,396.0,1497.0,3.0,4.0,3.0,23.0,102.0,11.0,1.0,1.0,3998.0,1765.0,1647.0,2519,1478.635627,1479.284494,1211.483843,1670.523356,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,12.79590584,26.0,4.0,352.0,16.0,0,4621.31,6635.0
2,2.0,11949,1,1,273,2018,2983,129,585000.0,2.0,4,1,9,10,13,23.84,114.0,110,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,14.3,13.0,5.0,242.0,14.0,0,3601.893989,6133.0
3,8.0,17794,1,1,87,2014,1867,101,462000.0,2.0,4,1,9,10,13,19.1,113.75,86,320.0,1197.0,4.0,4.0,3.0,23.0,51.37463617,12.45229249,1.0,1.0,3995.0,1660.0,1520.0,2425,1479.0,1493.0,1180.0,1670.523356,5,13.0,5.0,6.0,5.01860252,6.0,7.0,174.018972,14.2,26.0,4.0,407.0,14.0,0,4081.86,6167.0
4,7.0,60000,1,1,178,2015,4277,987,790000.0,5.0,1,1,9,10,13,23.65,200.0,55,218.0,1248.0,4.0,4.0,3.0,35.26919603,16.0,12.45229249,5.0,1.0,4300.0,1785.0,1595.0,2600,1478.635627,1479.284494,1211.483843,1670.0,5,12.0,5.0,6.0,5.2,22.0,21.0,174.018972,12.0,26.0,5.0,353.0,16.0,0,1838.5,4134.0
5,7.0,20000,1,1,101,2020,5931,485,1900000.0,5.0,1,1,9,10,13,17.1,350.0,86,124.0,1956.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,4395.0,1818.0,1640.0,2636,1478.635627,1479.284494,1211.483843,1670.523356,6,5.0,5.0,8.0,5.01860252,5.0,6.0,174.018972,12.79590584,6.0,5.0,408.0,17.0,0,2601.893989,3884.0
6,2.0,37772,1,1,37,2017,5223,1684,345000.0,2.0,4,1,9,10,13,20.63,104.0,57,344.0,1198.0,3.0,4.0,3.0,40.0,51.37463617,12.45229249,1.0,1.0,3785.0,1635.0,1490.0,2450,1440.0,1445.0,1070.0,1670.523356,5,12.0,5.0,6.0,5.01860252,0.0,7.0,174.018972,13.3,13.0,5.0,265.0,15.66402379,0,4101.893989,5135.0
8,8.0,37000,0,1,163,2018,6555,834,960000.0,2.0,4,0,9,10,13,20.28,138.0,66,479.0,1462.0,4.0,4.0,3.0,49.0,48.0,12.45229249,1.0,1.0,4490.0,1730.0,1485.0,2650,1478.635627,1479.284494,1105.0,1670.523356,4,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,12.79590584,23.0,4.0,510.0,16.0,0,4503.25,6133.0
9,2.0,11949,1,1,273,2017,2985,133,585000.0,2.0,4,1,9,10,13,23.84,114.0,110,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,14.3,13.0,5.0,242.0,15.66402379,0,3601.893989,6133.0
10,2.0,50000,1,1,157,2018,3962,85,690000.0,5.0,4,1,9,10,13,21.4,115.0,110,455.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1745.0,1510.0,2520,1515.0,1525.0,870.0,1340.0,5,12.0,5.0,6.0,4.9,5.0,7.0,174.018972,12.79590584,26.0,5.0,339.0,15.66402379,0,4083.1,6242.030234
11,2.0,24887,0,1,77,2019,5606,107,682000.0,5.0,4,0,9,10,13,18.9,178.9265066,84,320.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3765.0,1660.0,1520.0,2425,1479.0,1493.0,1200.0,1670.523356,4,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.9,13.0,5.0,256.0,14.0,0,4081.86,6165.0
12,2.0,23000,0,1,66,2018,6506,1794,825000.0,2.0,4,0,9,10,13,18.2,110.0,57,476.0,1199.0,4.0,4.0,8.0,64.0,51.37463617,12.45229249,1.0,1.0,3955.0,1694.0,1544.0,2530,1478.635627,1479.284494,1211.483843,1670.523356,5,12.0,5.0,6.0,5.1,5.0,7.0,174.018972,13.7,26.0,5.0,354.0,15.0,0,4888.7,6133.0
13,2.0,48928,0,1,273,2018,5653,134,595000.0,2.0,4,0,9,10,13,23.84,114.0,110,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,12.79590584,13.0,5.0,242.0,14.0,0,3583.83,6133.0
14,7.0,108862,1,3,147,2014,3822,1876,690000.0,2.0,1,1,9,10,13,15.1,330.0,116,498.0,2179.0,4.0,4.0,3.0,24.0,51.37463617,12.45229249,5.0,1.0,4585.0,1890.0,1785.0,2700,1478.635627,1479.284494,1900.0,2450.0,6,12.0,7.0,6.0,5.01860252,7.0,4.0,175.0,12.5,27.0,5.0,402.7427254,15.66402379,0,2901.893989,3881.0
15,7.0,80000,1,1,101,2018,5929,473,1350000.0,5.0,1,1,9,10,13,17.1,350.0,86,124.0,1956.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,4395.0,1818.0,1640.0,2636,1478.635627,1479.284494,1211.483843,1670.523356,6,5.0,5.0,6.0,5.01860252,5.0,6.0,174.018972,12.79590584,6.0,5.0,408.0,17.0,0,2601.893989,3949.0
17,2.0,65376,1,2,90,2014,1657,852,521000.0,2.0,1,1,9,10,13,21.27,219.6,9,418.0,1396.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,1.0,1.0,3995.0,1710.0,1505.0,2525,1505.0,1503.0,1120.0,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,2.0,174.018972,12.79590584,26.0,5.0,402.7427254,14.0,0,2838.76,4160.0
19,8.0,67000,1,2,63,2016,1215,2099,775000.0,2.0,4,1,9,10,13,17.8,145.0,14,469.0,1497.0,4.0,4.0,8.0,69.0,37.0,10.3,1.0,1.0,4440.0,1695.0,1495.0,2600,1480.0,1465.0,1049.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,10.0,26.0,4.0,510.0,15.0,0,4717.3,6767.0
22,7.0,30000,1,1,236,2020,7703,1453,1090000.0,5.0,4,1,9,10,13,16.42,142.0,86,94.0,1498.0,4.0,4.0,3.0,58.0,51.37463617,12.45229249,1.0,1.0,4360.0,1822.0,1695.0,2673,1560.0,1567.0,1315.0,1670.523356,5-,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,16.0,5.0,475.0,15.66402379,0,3623.538208,5731.0
