,price
0,400000
1,811000
2,585000
3,462000
4,790000
6,345000
7,1200000
8,960000
9,585000
10,690000
11,682000
12,825000
13,595000
17,521000
18,1005000
19,775000
21,582000
22,1090000
23,457000
25,550000
26,570000
33,674000
35,1050000
40,1100000
41,594000
42,710000
43,692000
44,650000
49,610000
51,530000
54,715000
57,625000
60,550000
61,825000
62,220000
63,428000
64,695000
65,930000
67,1195000
69,442000
71,500000
73,650000
74,537000
77,468000
78,420000
79,420000
80,919999
81,533000
82,850000
83,751000
84,388000
85,490000
86,494000
87,525000
90,365000
91,420000
94,1050000
96,394000
97,725000
99,835000
100,695000
102,330000
103,990000
104,750000
105,755000
108,271000
109,1280000
110,436000
112,1250000
114,1250000
119,1625000
121,249000
122,630000
124,249000
129,500000
130,730000
132,399000
133,312000
136,719000
137,1260000
138,300000
140,627000
142,672000
145,440000
148,1033000
149,275000
150,676000
153,444000
154,509999
155,925000
156,1024000
157,500000
158,994999
160,834000
161,560000
162,454000
165,462000
168,843000
169,799000
170,576000
171,949000
172,795000
173,1085000
175,516000
176,777000
177,753000
179,725000
180,1150000
181,629000
182,447000
183,400000
184,786000
185,745000
186,490000
187,942000
188,675000
189,330000
190,875000
191,869000
192,425000
193,1070000
194,1025000
196,375000
197,375000
198,844000
199,764000
200,420000
201,684000
202,802999
204,803999
206,548000
207,619000
208,1000000
209,865000
211,535000
212,975000
213,699000
214,1150000
215,625000
217,600000
218,675000
219,893000
220,420000
221,941000
222,630000
224,525000
225,750000
226,632000
227,645000
230,850000
234,999000
235,825000
237,1295000
239,666000
241,1026000
243,681000
246,688000
247,1300000
248,265000
249,645000
252,620000
253,1470000
254,220000
256,415000
257,610000
258,560000
260,686000
261,517000
263,675000
265,499000
266,774000
269,1025000
270,1400000
271,285000
273,780000
274,475000
276,555000
277,607000
278,513999
279,250000
280,705000
281,653000
282,872000
283,564000
284,370000
285,550000
286,517000
287,620000
288,620000
289,750000
290,1220000
292,575000
294,868000
296,980000
297,900000
298,550000
299,450000
300,610000
301,543000
302,980000
303,535000
305,661000
306,505000
307,450000
308,865000
309,999000
312,400000
313,550000
316,520000
317,616000
318,795000
320,624000
321,549000
323,524000
325,583000
326,1147000
328,825000
330,755000
331,875000
332,855000
334,525000
335,650000
337,846000
338,424000
340,959000
341,889000
342,850000
343,836000
344,660000
345,334000
346,594000
347,991000
349,219000
353,825000
354,825000
355,919999
357,729000
358,432000
359,700000
360,1499000
361,762000
362,1625000
363,632000
364,1218000
365,524000
367,1390000
369,1275000
371,1125000
372,650000
373,700000
374,1100000
375,260000
377,681000
379,765000
380,487000
383,770000
384,818000
385,724000
386,468000
387,500000
388,600000
390,525000
391,175000
392,725000
393,550000
394,650000
395,775000
396,900000
398,642000
399,900000
400,521000
401,695000
403,429000
404,520000
405,625000
406,601000
408,645000
410,695000
411,500000
413,894999
414,350000
415,550000
417,581000
418,513000
419,650000
420,806000
421,725000
423,426000
425,351000
426,490000
428,509999
430,1025000
432,825000
433,675000
434,190000
436,823000
437,554000
438,499000
439,815000
440,719000
441,372000
442,515000
443,554000
444,700000
445,409999
446,685000
450,765000
452,491000
453,1175000
454,999000
455,715000
458,404000
459,358000
460,581000
461,630000
462,560000
464,525000
465,501000
466,617000
468,994999
469,775000
471,770000
472,725000
473,840000
474,799000
475,1380000
476,696000
477,576000
478,721000
479,994999
480,594000
484,1100000
485,905000
486,848000
489,400000
491,894999
492,1099000
494,445000
495,320000
496,775000
498,661000
500,682000
501,577000
502,500000
503,679000
505,776000
506,690000
507,380000
508,560000
511,799000
513,835000
514,750000
517,527000
519,625000
520,447000
521,552000
522,795000
523,459000
526,536000
529,894999
530,1375000
531,880000
533,475000
536,960000
537,532000
538,651000
540,715000
541,740000
543,455000
545,524000
547,525000
548,1600000
549,360000
553,850000
554,1260000
555,850000
556,493000
557,505000
558,825000
559,682000
560,486000
562,540000
563,530000
565,453000
566,1010000
569,625000
570,635000
571,550000
573,1025000
576,977000
578,667000
579,494000
580,636000
581,792000
582,695000
583,360000
585,827000
586,382000
587,650000
588,512000
589,463000
590,1500000
591,525000
592,459999
593,627000
594,511000
595,55000
596,600000
599,750000
602,985000
603,1044999
604,200000
605,710000
606,586000
607,1500000
608,584000
609,409000
611,738000
612,380000
613,656000
614,483000
615,509999
616,750000
617,185000
618,180000
622,300000
625,546000
626,533000
628,332000
629,809000
631,347000
633,1359000
634,543000
636,475000
638,350000
639,135000
648,674000
649,613000
650,1145000
651,595000
652,450000
653,599000
654,625000
659,320000
662,525000
663,888000
666,593000
667,250000
668,685000
669,699000
670,1200000
672,380000
673,574000
674,573000
675,70000
677,425000
679,600000
680,650000
681,430000
683,1075000
684,750000
685,615000
686,746000
687,370000
688,667000
689,634000
690,40000
691,579000
692,509999
693,634000
694,527000
695,900000
699,650000
702,400000
703,300000
705,982000
706,674000
707,810000
708,792000
709,513000
711,579000
712,550000
713,383000
714,605000
715,985000
716,935000
717,675000
719,1345000
722,734000
723,701000
724,535000
725,789000
726,548000
728,476999
730,515000
731,562000
732,345000
733,475000
734,670000
735,950000
736,700000
737,80000
741,550000
742,581000
743,582000
745,531000
746,558000
747,155000
748,508000
750,542000
751,501000
752,875000
755,300000
758,55000
759,630000
761,417000
762,631000
764,544000
765,704000
767,359000
768,520000
770,766000
771,350000
772,480000
774,190000
781,539000
782,1006000
784,796000
785,636000
787,615000
789,718000
790,436000
792,780000
794,1300000
795,300000
797,670000
798,900000
799,600000
801,605000
802,559000
803,268000
804,780000
805,864000
807,341000
809,513000
810,661000
811,800000
812,520000
813,600000
814,300000
816,1295000
817,630000
819,275000
820,575000
821,338000
822,604000
824,327000
825,621000
